City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Port Hardy,50.7,-127.42,66.2,68,40,11.41,CA,2020-07-22 22:00:21
Douglas,41.3,-96.17,84.99,51,1,5.82,US,2020-07-22 22:03:18
Fukuechō,32.69,128.84,79.34,88,96,7.43,JP,2020-07-22 22:03:19
Leningradskiy,69.38,178.42,60.01,50,100,3.33,RU,2020-07-22 22:03:20
Pisco,-13.7,-76.22,68.0,68,0,3.36,PE,2020-07-22 22:03:21
Puerto del Rosario,28.5,-13.86,73.4,83,20,10.29,ES,2020-07-22 22:03:23
Solnechnyy,50.72,136.63,61.77,93,100,4.79,RU,2020-07-22 22:03:24
Labuhan,-6.88,112.21,75.33,86,56,8.23,ID,2020-07-22 22:03:25
Motala,58.54,15.04,55.4,66,2,5.82,SE,2020-07-22 22:00:55
Henties Bay,-22.12,14.28,64.0,66,0,5.03,,2020-07-22 22:03:27
Mindelo,16.89,-24.98,80.6,78,75,12.75,CV,2020-07-22 22:03:28
Antofagasta,-23.65,-70.4,59.0,72,75,13.87,CL,2020-07-22 21:58:48
Joshīmath,30.57,79.57,62.06,51,46,1.63,IN,2020-07-22 22:03:30
Mosal'sk,54.49,34.98,50.41,89,0,9.01,RU,2020-07-22 22:03:32
Saint-Philippe,-21.36,55.77,68.0,52,90,10.29,RE,2020-07-22 22:00:55
Brae,60.4,-1.35,55.4,87,61,11.41,GB,2020-07-22 22:03:34
Chul'man,56.85,124.91,55.78,86,4,3.06,RU,2020-07-22 22:03:35
Truckee,39.33,-120.18,77.0,38,21,1.99,US,2020-07-22 22:03:36
Nichinan,31.6,131.37,77.0,83,75,3.36,JP,2020-07-22 22:03:37
Caravelas,-17.71,-39.25,68.61,69,0,3.09,BR,2020-07-22 22:02:56
Uruçuca,-14.59,-39.28,63.72,89,0,2.51,BR,2020-07-22 22:03:39
Rovaniemi,66.5,25.72,60.8,93,90,10.29,FI,2020-07-22 22:01:37
Burgstädt,50.92,12.82,55.99,69,65,1.74,DE,2020-07-22 22:03:42
Sanvordem,15.27,74.12,78.08,87,100,0.89,IN,2020-07-22 22:03:45
Itanhém,-17.17,-40.33,65.97,73,0,4.43,BR,2020-07-22 22:03:49
Sinnamary,5.38,-52.95,78.89,85,97,8.79,GF,2020-07-22 22:03:51
Vao,-22.67,167.48,67.46,73,100,17.27,NC,2020-07-22 22:03:53
Shimanovsk,52.0,127.7,61.07,92,100,4.5,RU,2020-07-22 22:03:54
Port Blair,11.67,92.75,77.0,100,75,2.24,IN,2020-07-22 22:03:56
Chālūs,36.66,51.42,75.2,100,90,4.7,IR,2020-07-22 22:03:57
Ntcheu,-14.82,34.64,51.85,87,0,5.39,MW,2020-07-22 22:03:58
Ongandjera,-17.88,15.07,59.59,32,0,9.1,,2020-07-22 22:03:59
Khāsh,28.22,61.22,68.9,75,0,1.66,IR,2020-07-22 22:04:01
Nizhneudinsk,54.91,99.03,52.27,89,12,2.95,RU,2020-07-22 22:04:02
Cherskiy,68.75,161.3,77.0,31,100,11.5,RU,2020-07-22 22:00:17
Marsh Harbour,26.54,-77.06,83.86,77,80,16.49,BS,2020-07-22 22:03:58
Porirua,-41.13,174.85,55.0,87,30,4.0,NZ,2020-07-22 22:04:07
Erzin,36.96,36.2,81.0,89,1,2.15,TR,2020-07-22 22:04:09
Pangkalanbuun,-2.68,111.62,74.08,98,99,2.42,ID,2020-07-22 22:04:10
Kathmandu,27.72,85.32,69.8,100,75,2.24,NP,2020-07-22 22:02:52
Ati,13.22,18.34,83.32,66,76,13.47,TD,2020-07-22 22:04:13
Geraldton,-28.77,114.6,59.0,87,90,4.7,AU,2020-07-22 22:03:06
Bairiki Village,1.33,172.98,84.2,74,40,12.75,KI,2020-07-22 22:01:11
Vila Velha,-20.33,-40.29,77.0,73,0,11.41,BR,2020-07-22 22:01:33
Menongue,-14.66,17.69,49.15,48,0,3.96,AO,2020-07-22 22:04:18
Tarko-Sale,64.92,77.78,52.0,84,33,17.98,RU,2020-07-22 22:04:19
Tashtagol,52.77,87.89,53.26,92,21,3.44,RU,2020-07-22 22:04:20
Sayyan,15.17,44.32,64.92,60,45,10.02,YE,2020-07-22 22:04:21
Port Macquarie,-31.43,152.92,48.99,96,100,4.76,AU,2020-07-22 22:04:22
Ambon City,-3.7,128.18,78.8,83,19,6.93,ID,2020-07-22 22:04:23
Baker City,44.77,-117.83,93.2,23,1,2.13,US,2020-07-22 22:03:06
La Tuque,47.43,-72.78,73.65,57,66,5.28,CA,2020-07-22 22:03:21
Bereket,39.24,55.52,83.16,56,2,13.2,TM,2020-07-22 22:04:27
Fortuna,40.6,-124.16,68.0,87,40,16.11,US,2020-07-22 22:03:02
Três Barras,-26.11,-50.32,60.58,73,100,1.14,BR,2020-07-22 22:04:29
Anadyr,64.75,177.48,55.4,71,2,8.95,RU,2020-07-22 22:04:30
Kaeo,-35.1,173.78,57.0,3,27,5.01,NZ,2020-07-22 22:04:31
Sijunjung,-0.69,100.95,70.07,92,97,1.41,ID,2020-07-22 22:04:32
Tautira,-17.73,-149.15,82.4,61,20,8.05,PF,2020-07-22 22:04:33
Donghai,22.95,115.64,80.67,87,35,1.12,CN,2020-07-22 22:04:34
Mlowo,-9.0,32.98,55.0,77,1,9.04,TZ,2020-07-22 22:04:35
Tefé,-3.35,-64.71,80.6,88,20,2.24,BR,2020-07-22 22:00:10
Atar,20.52,-13.05,98.91,22,49,7.72,MR,2020-07-22 22:00:44
Berlevåg,70.86,29.09,48.2,100,90,10.29,NO,2020-07-22 22:04:39
Slave Lake,55.28,-114.77,68.0,72,20,4.7,CA,2020-07-22 21:59:49
Muriaé,-21.13,-42.37,70.0,63,7,1.01,BR,2020-07-22 22:02:20
Stara Vyzhivka,51.44,24.44,53.17,87,0,4.88,UA,2020-07-22 22:04:42
Ustka,54.58,16.86,57.51,74,51,11.83,PL,2020-07-22 22:04:44
Paamiut,61.99,-49.67,46.8,83,75,6.06,GL,2020-07-22 22:04:45
Mount Isa,-20.73,139.5,55.4,37,0,5.82,AU,2020-07-22 22:01:08
Wanning,18.8,110.4,80.2,82,0,5.41,CN,2020-07-22 22:04:47
Ostrovnoy,68.05,39.51,59.45,77,24,8.79,RU,2020-07-22 22:02:46
São Filipe,14.9,-24.5,78.26,85,99,6.58,CV,2020-07-22 22:02:52
Acapulco de Juárez,16.86,-99.89,86.0,70,40,6.93,MX,2020-07-22 22:02:00
Pangnirtung,66.15,-65.71,48.2,93,90,10.29,CA,2020-07-22 22:03:51
Gamboula,4.12,15.14,67.57,96,51,2.95,CF,2020-07-22 22:04:53
Saint-Louis,16.33,-15.0,91.4,59,54,12.15,SN,2020-07-22 22:04:54
Yabrūd,33.97,36.66,75.2,64,0,13.87,SY,2020-07-22 22:04:55
Edson,53.58,-116.44,73.4,40,40,4.7,CA,2020-07-22 22:03:01
Mahibadhoo,3.78,72.97,82.65,76,85,20.27,MV,2020-07-22 22:04:57
Mujiayingzi,42.12,118.78,66.83,67,0,1.1,CN,2020-07-22 22:04:58
Merauke,-8.47,140.33,76.17,78,1,12.21,ID,2020-07-22 22:05:00
Hobyo,5.35,48.53,76.86,77,18,27.38,SO,2020-07-22 22:05:01
Calama,-22.47,-68.93,64.4,7,0,18.34,CL,2020-07-22 22:00:27
Marquette,46.53,-87.63,60.01,96,100,6.64,US,2020-07-22 22:05:03
Pathein,16.78,94.73,77.23,88,98,3.53,MM,2020-07-22 22:05:04
Svetlaya,46.54,138.33,60.78,92,100,3.47,RU,2020-07-22 22:05:05
Hirado,33.36,129.55,79.0,94,75,6.93,JP,2020-07-22 22:05:07
Khandyga,62.67,135.6,66.94,54,0,2.01,RU,2020-07-22 22:05:08
Karacabey,40.22,28.4,73.4,83,0,16.11,TR,2020-07-22 22:05:09
Jerusalem,31.77,35.22,73.0,61,0,1.99,IL,2020-07-22 22:05:10
Vardø,70.37,31.11,55.4,87,69,5.82,NO,2020-07-22 22:05:12
Sīrjān,29.45,55.68,74.28,48,0,11.45,IR,2020-07-22 22:05:13
Gīdolē,5.65,37.37,59.25,91,93,1.92,ET,2020-07-22 22:05:15
Chimoio,-19.12,33.48,57.2,87,20,3.02,MZ,2020-07-22 22:05:16
Laguna,38.42,-121.42,88.0,34,1,11.41,US,2020-07-22 22:05:17
Springdale,36.19,-94.13,91.4,58,75,5.82,US,2020-07-22 22:01:03
Makhinjauri,41.67,41.69,68.0,88,2,9.17,GE,2020-07-22 22:05:20
Okhotsk,59.38,143.3,58.41,66,25,4.12,RU,2020-07-22 22:05:22
Vallenar,-28.57,-70.76,57.22,49,32,5.73,CL,2020-07-22 22:02:43
Mil'kovo,54.72,158.62,51.42,77,100,1.66,RU,2020-07-22 22:05:25
General Roca,-39.03,-67.58,37.4,93,90,3.36,AR,2020-07-22 22:05:26
Oxapampa,-10.58,-75.4,65.25,82,53,2.64,PE,2020-07-22 22:05:27
Pochutla,15.74,-96.47,86.0,70,90,8.05,MX,2020-07-22 22:05:29
Batagay-Alyta,67.8,130.41,67.12,53,0,4.05,RU,2020-07-22 22:05:30
Portsoy,57.68,-2.69,59.0,26,98,1.99,GB,2020-07-22 22:05:33
Pauini,-7.71,-66.98,84.04,47,95,2.01,BR,2020-07-22 22:05:34
Fayaoué,-20.65,166.53,71.06,69,62,19.64,NC,2020-07-22 22:05:35
Aksarka,66.56,67.8,44.78,82,0,0.78,RU,2020-07-22 22:05:36
Owo,7.2,5.59,70.93,99,72,4.54,NG,2020-07-22 22:05:37
Luang Prabang,19.89,102.13,72.18,87,17,0.49,LA,2020-07-22 22:05:39
Derzhavīnsk,51.1,66.32,69.78,56,100,20.2,KZ,2020-07-22 22:05:41
Buala,-8.14,159.59,82.58,78,67,11.54,SB,2020-07-22 22:05:42
Tudela,42.06,-1.6,80.6,36,9,9.17,ES,2020-07-22 22:05:43
Saint Anthony,45.02,-93.22,69.8,64,90,6.93,US,2020-07-22 22:05:44
Buedu,8.28,-10.37,70.29,98,96,3.24,SL,2020-07-22 22:05:46
Shellbrook,53.22,-106.4,82.4,54,75,12.75,CA,2020-07-22 22:05:48
Pimentel,-6.84,-79.93,69.8,64,2,19.46,PE,2020-07-22 22:05:51
Koutsouras,35.03,25.95,78.01,56,0,15.01,GR,2020-07-22 22:05:52
Leh,34.17,77.58,53.64,41,72,6.96,IN,2020-07-22 22:05:54
Hay River,60.82,-115.8,64.4,93,75,4.7,CA,2020-07-22 22:05:55
Wankyi,7.74,-2.1,71.69,96,100,5.5,GH,2020-07-22 22:05:56
Innisfail,-17.53,146.03,62.01,98,78,5.99,AU,2020-07-22 22:05:57
Kamaishi,39.27,141.88,71.98,85,97,1.28,JP,2020-07-22 22:05:58
Saquarema,-22.92,-42.51,71.6,88,0,4.7,BR,2020-07-22 22:02:03
Derby,52.92,-1.48,60.01,82,40,6.93,GB,2020-07-22 22:01:50
Acaraú,-2.89,-40.12,77.41,73,2,14.07,BR,2020-07-22 22:06:01
Hualmay,-11.1,-77.61,63.95,76,7,10.89,PE,2020-07-22 22:01:12
Bongandanga,1.5,21.05,73.81,76,100,1.14,CD,2020-07-22 22:06:04
San Luis,-33.3,-66.34,42.91,89,100,12.17,AR,2020-07-22 22:06:05
Nizhniy Baskunchak,48.22,46.83,76.75,38,31,8.79,RU,2020-07-22 22:06:06
Makokou,0.57,12.86,69.42,95,68,3.27,GA,2020-07-22 22:06:07
Tomatlán,19.93,-105.25,88.83,58,92,11.99,MX,2020-07-22 22:06:08
Gemeente Wageningen,51.97,5.67,57.99,81,33,3.58,NL,2020-07-22 22:06:10
Polunochnoye,60.87,60.42,55.53,79,41,2.51,RU,2020-07-22 22:06:11
Khawhai,23.37,93.12,62.76,100,100,0.54,IN,2020-07-22 22:06:12
Oriximiná,-1.77,-55.87,81.59,76,91,2.59,BR,2020-07-22 22:06:13
Atasū,48.68,71.64,65.52,69,71,10.74,KZ,2020-07-22 22:06:14
Nālūt,30.33,10.85,75.63,34,0,14.29,LY,2020-07-22 22:06:15
Mishelevka,52.86,103.17,58.96,92,100,7.29,RU,2020-07-22 22:06:16
Nelson Bay,-32.72,152.15,46.99,100,75,8.05,AU,2020-07-22 22:06:18
Port-Gentil,-0.72,8.78,76.23,80,64,11.43,GA,2020-07-22 22:06:19
Cayenne,4.93,-52.33,77.0,94,75,3.36,GF,2020-07-22 22:06:20
Bharatpur,27.22,77.48,82.78,68,37,2.39,IN,2020-07-22 22:06:21
Kieta,-6.22,155.63,81.95,73,80,5.19,PG,2020-07-22 22:06:22
Rawson,-43.3,-65.1,41.76,67,100,14.41,AR,2020-07-22 22:06:25
Gilgit,35.92,74.31,74.01,33,0,1.1,PK,2020-07-22 22:06:27
Caloundra,-26.8,153.13,60.01,82,100,4.0,AU,2020-07-22 22:06:28
Kidal,18.44,1.41,97.07,27,57,9.8,ML,2020-07-22 22:06:29
Bellavista,-7.06,-76.59,91.4,49,20,6.93,PE,2020-07-22 22:06:30
Capanema,-1.2,-47.18,75.31,95,100,4.54,BR,2020-07-22 22:06:31
Umluj,25.02,37.27,84.43,67,2,4.47,SA,2020-07-22 22:06:33
Tabou,4.42,-7.35,75.6,86,100,10.09,CI,2020-07-22 22:06:34
Yamada,39.47,141.95,72.01,86,84,2.71,JP,2020-07-22 22:06:35
Riyadh,24.69,46.72,95.0,32,63,14.99,SA,2020-07-22 22:06:36
Anicuns,-16.46,-49.96,70.88,38,0,3.47,BR,2020-07-22 22:06:37
Aswān,24.09,32.91,87.94,19,0,12.66,EG,2020-07-22 22:06:38
Saldanha,-33.01,17.94,53.6,87,0,5.82,ZA,2020-07-22 22:06:39
Tilichiki,60.47,166.1,54.09,71,98,2.91,RU,2020-07-22 22:02:50
La Ronge,55.1,-105.28,80.6,47,75,11.41,CA,2020-07-22 22:06:42
Iquitos,-3.75,-73.25,87.8,62,40,4.7,PE,2020-07-22 22:05:19
Quechultenango,17.42,-99.22,79.47,71,35,5.97,MX,2020-07-22 22:06:45
Clonakilty,51.62,-8.87,57.99,93,75,9.17,IE,2020-07-22 22:06:46
Udachny,66.42,112.4,55.4,93,90,8.95,RU,2020-07-22 22:06:47
Walvis Bay,-22.96,14.51,71.6,28,0,13.87,,2020-07-22 22:06:49
Swanton,41.59,-83.89,82.4,69,90,14.99,US,2020-07-22 22:06:50
Varnavino,57.4,45.09,59.2,97,98,2.08,RU,2020-07-22 22:06:51
Freetown,8.48,-13.23,76.75,90,100,5.66,SL,2020-07-22 22:06:52
Manitouwadge,49.12,-85.84,69.8,68,75,4.7,CA,2020-07-22 22:06:52
Ust-Kuyga,70.02,135.6,81.46,36,45,7.31,RU,2020-07-22 22:06:55
Awjilah,29.11,21.29,78.17,51,0,18.25,LY,2020-07-22 22:06:57
Ranot,7.78,100.32,80.06,79,97,3.24,TH,2020-07-22 22:06:58
Ubari,26.59,12.78,81.45,23,0,11.39,LY,2020-07-22 22:06:59
Farah,32.5,62.5,71.76,22,0,2.48,AF,2020-07-22 22:07:00
The Valley,18.22,-63.06,86.0,62,75,13.87,AI,2020-07-22 22:06:55
Souillac,-20.52,57.52,69.8,56,75,11.41,MU,2020-07-22 22:07:02
Tessalit,20.2,1.01,95.54,23,31,5.39,ML,2020-07-22 22:07:03
Krasnyy Kut,50.95,46.97,66.38,70,18,4.23,RU,2020-07-22 22:07:05
Chapais,49.78,-74.85,71.6,60,75,16.11,CA,2020-07-22 22:07:06
Boshnyakovo,49.63,142.17,57.31,88,96,0.69,RU,2020-07-22 22:07:07
Zyryanka,65.75,150.85,78.66,35,53,14.16,RU,2020-07-22 22:07:09
Noyabrsk,63.2,75.45,48.85,78,55,14.07,RU,2020-07-22 22:07:10
Cabo San Lucas,22.89,-109.91,91.4,69,40,19.46,MX,2020-07-22 22:07:11
Uglekamensk,43.22,133.23,68.67,81,63,0.85,RU,2020-07-22 22:07:12
Nobres,-14.72,-56.33,80.69,27,0,2.84,BR,2020-07-22 22:07:13
Horsham,51.06,-0.33,62.6,59,34,4.7,GB,2020-07-22 22:07:14
Makakilo City,21.35,-158.09,82.4,69,1,12.75,US,2020-07-22 22:07:15
Grand Bank,47.1,-55.77,64.4,82,81,12.75,CA,2020-07-22 22:07:17
Mayahi,13.96,7.67,90.1,41,92,6.78,NE,2020-07-22 22:07:18
Chifeng,42.27,118.96,68.5,65,0,2.53,CN,2020-07-22 22:07:19
Lavrentiya,65.58,-171.0,51.44,59,0,4.9,RU,2020-07-22 22:07:20
Canutama,-6.53,-64.38,84.4,54,88,1.59,BR,2020-07-22 22:07:21
Kachīry,53.07,76.1,60.17,75,0,2.13,KZ,2020-07-22 22:07:22
Kavaratti,10.57,72.64,81.66,81,78,11.79,IN,2020-07-22 22:07:24
Jatai,-17.88,-51.71,71.53,34,0,4.85,BR,2020-07-22 22:07:25
Killybegs,54.63,-8.45,60.01,96,100,1.99,IE,2020-07-22 22:07:26
Shatrovo,56.52,64.63,59.18,77,69,7.31,RU,2020-07-22 22:07:27
Flinders,-34.58,150.86,48.99,90,11,1.99,AU,2020-07-22 22:07:28
Roquetas de Mar,36.76,-2.61,78.8,83,75,6.93,ES,2020-07-22 22:07:29
Katsuura,35.13,140.3,77.0,91,100,4.36,JP,2020-07-22 22:07:30
Yellandu,17.6,80.33,76.01,96,100,4.23,IN,2020-07-22 22:07:31
Dawlatabad,36.41,64.91,77.07,18,0,3.31,AF,2020-07-22 22:07:33
Praia,14.92,-23.51,80.6,78,20,6.93,CV,2020-07-22 22:04:02
Sompeta,18.93,84.6,81.12,83,100,9.6,IN,2020-07-22 22:07:35
Qarqīn,37.42,66.04,84.16,16,0,5.86,AF,2020-07-22 22:07:36
Dubbo,-32.25,148.62,35.6,93,0,6.93,AU,2020-07-22 22:07:37
Hollola,61.05,25.43,54.0,86,100,1.01,FI,2020-07-22 22:07:38
Shimoda,34.67,138.95,71.01,91,100,6.98,JP,2020-07-22 22:07:39
São João da Barra,-21.64,-41.05,77.0,69,0,6.93,BR,2020-07-22 22:03:13
Kumul,42.8,93.45,79.59,29,99,6.89,CN,2020-07-22 22:07:41
Whakatane,-37.96,176.99,55.99,64,14,1.99,NZ,2020-07-22 22:07:43
Sudzha,51.2,35.27,53.98,82,0,7.43,RU,2020-07-22 22:07:44
Talcahuano,-36.72,-73.12,55.4,71,75,4.7,CL,2020-07-22 22:07:45
Nizhniy Odes,63.64,54.86,60.46,71,86,6.4,RU,2020-07-22 22:07:46
Massakory,13.0,15.73,79.5,76,100,12.97,TD,2020-07-22 22:07:47
Cascais,38.7,-9.42,73.0,62,0,10.96,PT,2020-07-22 22:03:42
Ejea de los Caballeros,42.13,-1.14,80.6,36,6,9.17,ES,2020-07-22 22:07:49
Luba,3.46,8.55,75.2,100,20,3.36,GQ,2020-07-22 22:07:51
Safi,32.3,-9.24,71.28,86,0,13.62,MA,2020-07-22 22:07:53
Dunedin,-45.87,170.5,41.0,75,2,15.99,NZ,2020-07-22 22:03:13
Havelock,34.88,-76.9,89.6,55,1,10.29,US,2020-07-22 22:07:30
Charters Towers,-20.1,146.27,59.83,91,95,10.18,AU,2020-07-22 22:07:56
Luga,58.74,29.85,53.6,75,4,9.82,RU,2020-07-22 22:07:57
Chicama,-7.84,-79.15,67.5,65,3,8.37,PE,2020-07-22 22:07:58
Lamu,-2.27,40.9,76.23,77,0,17.74,KE,2020-07-22 22:08:00
Bonavista,48.65,-53.11,64.15,67,88,0.13,CA,2020-07-22 22:08:02
Catanduva,-21.14,-48.97,82.4,21,0,2.24,BR,2020-07-22 22:08:03
General Pico,-35.66,-63.76,48.16,91,100,13.96,AR,2020-07-22 22:08:04
Porto Nacional,-10.71,-48.42,87.8,38,0,8.05,BR,2020-07-22 22:08:05
Wahiawā,21.5,-158.02,82.4,88,90,4.7,US,2020-07-22 22:08:06
Xinmin,41.99,122.83,71.6,100,9,2.24,CN,2020-07-22 22:08:07
Abu Dhabi,24.47,54.37,96.8,39,97,8.05,AE,2020-07-22 22:08:09
Tabas,33.6,56.92,91.4,14,0,5.95,IR,2020-07-22 22:06:16
Arrecife,28.96,-13.55,73.4,78,20,25.28,ES,2020-07-22 22:08:11
Panguna,-6.32,155.48,74.62,85,72,2.95,PG,2020-07-22 22:08:12
Quimper,48.0,-4.1,62.6,67,96,6.93,FR,2020-07-22 22:08:13
Te Anau,-45.42,167.72,36.25,81,52,3.24,NZ,2020-07-22 22:08:15
Palu,-0.89,119.87,74.84,81,84,2.46,ID,2020-07-22 22:08:16
Pouembout,-21.13,164.9,69.51,64,20,6.76,NC,2020-07-22 22:08:17
Vanavara,60.34,102.28,52.9,80,46,3.38,RU,2020-07-22 22:08:18
Nemuro,43.32,145.57,59.88,98,100,9.98,JP,2020-07-22 22:08:19
Sohag,26.56,31.69,83.73,25,1,11.48,EG,2020-07-22 22:08:20
Tarabuco,-19.17,-64.92,53.44,53,0,5.86,BO,2020-07-22 22:08:21
Ferrol,43.48,-8.24,68.0,77,0,3.36,ES,2020-07-22 22:08:22
North Bend,43.41,-124.22,64.99,77,1,17.22,US,2020-07-22 22:05:05
Marondera,-18.19,31.55,42.01,89,0,5.06,ZW,2020-07-22 22:08:26
Níjar,36.97,-2.21,78.8,83,75,6.93,ES,2020-07-22 22:04:27
Vostok,46.49,135.88,64.11,94,97,1.12,RU,2020-07-22 22:08:28
Pyaozerskiy,65.83,31.17,57.52,93,87,8.75,RU,2020-07-22 22:08:29
Dandong,40.13,124.39,71.73,89,100,3.0,CN,2020-07-22 22:08:30
